"","x"
"1",0.935483870967742
"2",0
"3",0.806451612903226
"4",0
"5",0
"6",0
"7",0
"8",0.032258064516129
"9",0.870967741935484
"10",0.838709677419355
"11",0.967741935483871
"12",1
"13",0
"14",0.032258064516129
"15",0
"16",0.193548387096774
"17",1
"18",0.193548387096774
"19",0
"20",0
"21",0
"22",0.967741935483871
"23",0.806451612903226
"24",0.741935483870968
"25",0
"26",0
"27",0
"28",0
"29",0.935483870967742
"30",0.903225806451613
"31",0
"32",1
"33",0
"34",0
"35",0.967741935483871
"36",0.032258064516129
"37",1
"38",0
"39",0
"40",1
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0.032258064516129
"52",0
"53",0.838709677419355
"54",0
"55",0
"56",0.870967741935484
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0.0645161290322581
"63",0
"64",0
"65",0
"66",1
"67",0
"68",0
"69",0
"70",0
"71",0.967741935483871
"72",0
"73",0.838709677419355
"74",0
"75",1
"76",0.967741935483871
"77",0
"78",0.967741935483871
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0.903225806451613
"87",0
"88",0.193548387096774
"89",0
"90",0
"91",0
"92",1
"93",0
"94",0
"95",0
"96",0.903225806451613
"97",0.967741935483871
"98",0
"99",0
"100",0
